image_file,group_key
data/raw/images/М102-2012-1-0494_orig.jpg,М102-2012-1-0494
data/raw/images/М102-2012-1-0585_orig.jpg,М102-2012-1-0585
data/raw/images/М102-2012-1-0691_orig.jpg,М102-2012-1-0691
data/raw/images/М102-2012-1-0851_orig.jpg,М102-2012-1-0851
data/raw/images/М102-2012-1-0942_orig.jpg,М102-2012-1-0942
data/raw/images/М102-2012-1-1008_orig.jpg,М102-2012-1-1008
data/raw/images/М102-2012-2-0538_orig.jpg,М102-2012-2-0538
data/raw/images/М102-2012-2-1068_orig.jpg,М102-2012-2-1068
data/raw/images/М102-2012-2-1123_orig.jpg,М102-2012-2-1123
data/raw/images/М102-2012-2-1166_orig.jpg,М102-2012-2-1166
data/raw/images/М102-2012-2-1267_orig.jpg,М102-2012-2-1267
data/raw/images/М102-2012-2-1319_orig.jpg,М102-2012-2-1319
data/raw/images/М102-2012-2-1327_orig.jpg,М102-2012-2-1327
data/raw/images/М102-2012-2-1359_orig.jpg,М102-2012-2-1359
data/raw/images/М102-2012-2-1360_orig.jpg,М102-2012-2-1360
data/raw/images/М102-2012-2-1361_orig.jpg,М102-2012-2-1361
data/raw/images/Мич11-ш01-005_orig.jpg,Мич11-ш01-005
data/raw/images/Мич11-ш02-053_orig.jpg,Мич11-ш02-053
data/raw/images/Мич11-ш04-155_orig.jpg,Мич11-ш04-155
data/raw/images/БП11-Р01-Г01-1247_orig.jpg,БП11-Р01-Г01-1247
data/raw/images/БП11-Р01-тех-0468_orig.jpg,БП11-Р01-тех-0468
data/raw/images/БП11-Р01-Г01-1137_orig.jpg,БП11-Р01-Г01-1137
data/raw/images/БП11-Р01-Г01-1065_orig.jpg,БП11-Р01-Г01-1065
data/raw/images/БП11-Р01-Г01-1251_orig.jpg,БП11-Р01-Г01-1251
data/raw/images/БП11-Р01-Г03-3339_orig.jpg,БП11-Р01-Г03-3339
data/raw/images/БП11-Р01-Г01-0944_orig.jpg,БП11-Р01-Г01-0944
data/raw/images/БП11-Р01-Г01-1315_orig.jpg,БП11-Р01-Г01-1315
data/raw/images/БП11-Р01-Г01-1397_orig.jpg,БП11-Р01-Г01-1397
data/raw/images/БП11-Р01-тех-0421_orig.jpg,БП11-Р01-тех-0421
data/raw/images/БП11-Р01-Г01-1405_orig.jpg,БП11-Р01-Г01-1405
data/raw/images/БП11-Р01-Г01-1192_orig.jpg,БП11-Р01-Г01-1192
data/raw/images/БП11-Р01-Г01-1197_orig.jpg,БП11-Р01-Г01-1197
data/raw/images/БП11-Р01-Г01-1396_orig.jpg,БП11-Р01-Г01-1396
data/raw/images/БП11-Р01-Г01-1248_orig.jpg,БП11-Р01-Г01-1248
data/raw/images/БП11-Р01-Г03-6484_orig.jpg,БП11-Р01-Г03-6484
data/raw/images/БП11-Р01-тех-0394_orig.jpg,БП11-Р01-тех-0394
data/raw/images/Кроп-2013-159_orig.jpg,Кроп-2013-159
data/raw/images/Кроп-2013-163_orig.jpg,Кроп-2013-163
data/raw/images/Кроп-2013-204_orig.jpg,Кроп-2013-204
data/raw/images/Кроп-2013-243_orig.jpg,Кроп-2013-243
data/raw/images/Кроп-2013-248_orig.jpg,Кроп-2013-248
data/raw/images/Кроп-2013-252_orig.jpg,Кроп-2013-252
data/raw/images/Кроп-2013-285_orig.jpg,Кроп-2013-285
data/raw/images/Кроп-2013-317_orig.jpg,Кроп-2013-317
data/raw/images/Кроп-2013-373_orig.jpg,Кроп-2013-373
data/raw/images/Кроп-2013-391_orig.jpg,Кроп-2013-391
data/raw/images/Кроп-2013-392_orig.jpg,Кроп-2013-392
data/raw/images/Кроп-2013-398_orig.jpg,Кроп-2013-398
data/raw/images/Кроп-2013-400_orig.jpg,Кроп-2013-400
data/raw/images/Кроп-2013-414_orig.jpg,Кроп-2013-414
data/raw/images/Кроп-2013-415_orig.jpg,Кроп-2013-415
data/raw/images/Кроп-2013-422_orig.jpg,Кроп-2013-422
data/raw/images/Кроп-2013-430_orig.jpg,Кроп-2013-430
data/raw/images/Кроп-2013-481_orig.jpg,Кроп-2013-481
data/raw/images/Кроп-2013-484_orig.jpg,Кроп-2013-484
data/raw/images/Кроп-2013-Тр2-049_orig.jpg,Кроп-2013-Тр2-049
data/raw/images/Нев11-Г0-005_orig.jpg,Нев11-Г0-005
data/raw/images/Нев11-Г0-006_orig.jpg,Нев11-Г0-006
data/raw/images/Нев11-Г02-012_orig.jpg,Нев11-Г02-012
data/raw/images/Нев11-Г02-021_orig.jpg,Нев11-Г02-021
data/raw/images/Нев11-Г02-022_orig.jpg,Нев11-Г02-022
data/raw/images/Нев11-Г03-038_orig.jpg,Нев11-Г03-038
data/raw/images/Нев11-Г03-096_orig.jpg,Нев11-Г03-096
data/raw/images/Нев11-Г04-182_orig.jpg,Нев11-Г04-182
data/raw/images/Нев11-Г04-187_orig.jpg,Нев11-Г04-187
data/raw/images/Нев11-Г04-197_orig.jpg,Нев11-Г04-197
data/raw/images/Нев11-Г05-055_orig.jpg,Нев11-Г05-055
data/raw/images/БП12-Г01-0726_orig.jpg,БП12-Г01-0726
data/raw/images/БП12-Г01-0783_orig.jpg,БП12-Г01-0783
data/raw/images/БП12-Г01-0956_orig.jpg,БП12-Г01-0956
data/raw/images/БП12-Г01-1007_orig.jpg,БП12-Г01-1007
data/raw/images/БП12-Г01-1008_orig.jpg,БП12-Г01-1008
data/raw/images/БП12-Г01-1016_orig.jpg,БП12-Г01-1016
data/raw/images/БП12-Г01-1974_orig.jpg,БП12-Г01-1974
data/raw/images/БП12-Г01-2474_orig.jpg,БП12-Г01-2474
data/raw/images/БП12-Г01-2475_orig.jpg,БП12-Г01-2475
data/raw/images/БП12-Г01-3220_orig.jpg,БП12-Г01-3220
data/raw/images/БП12-Г01-3239_orig.jpg,БП12-Г01-3239
data/raw/images/БП12-Г01-3414_orig.jpg,БП12-Г01-3414
data/raw/images/БП12-Г01-3416_orig.jpg,БП12-Г01-3416
data/raw/images/БП12-Г01-4902_orig.jpg,БП12-Г01-4902
data/raw/images/БП12-Г01-5843_orig.jpg,БП12-Г01-5843
data/raw/images/БП12-Г01-6186_orig.jpg,БП12-Г01-6186
data/raw/images/БП12-Г01-6214_orig.jpg,БП12-Г01-6214
data/raw/images/БП12-Г01-6521_orig.jpg,БП12-Г01-6521
data/raw/images/БП12-Г01-6522_orig.jpg,БП12-Г01-6522
data/raw/images/БП12-Г01-6523_orig.jpg,БП12-Г01-6523
data/raw/images/БП12-Г01-6524_orig.jpg,БП12-Г01-6524
data/raw/images/БП12-Г01-6538_orig.jpg,БП12-Г01-6538
data/raw/images/БП12-Г01-6940_orig.jpg,БП12-Г01-6940
data/raw/images/БП12-Г01-7058_orig.jpg,БП12-Г01-7058
data/raw/images/БП12-Г01-7079_orig.jpg,БП12-Г01-7079
data/raw/images/БП12-Г01-7211_orig.jpg,БП12-Г01-7211
data/raw/images/БП12-Г01-7212_orig.jpg,БП12-Г01-7212
data/raw/images/БП12-Г01-7213_orig.jpg,БП12-Г01-7213
data/raw/images/БП12-Г01-7262_orig.jpg,БП12-Г01-7262
data/raw/images/БП12-Г01-7263_orig.jpg,БП12-Г01-7263
data/raw/images/БП12-Г01-7754_orig.jpg,БП12-Г01-7754
data/raw/images/БП12-Г01-7977_orig.jpg,БП12-Г01-7977
data/raw/images/БП12-Г01-8837_orig.jpg,БП12-Г01-8837
data/raw/images/БП12-Г01-8844_orig.jpg,БП12-Г01-8844
data/raw/images/БП12-Г02-2581_orig.jpg,БП12-Г02-2581
data/raw/images/БП12-Г02-2723_orig.jpg,БП12-Г02-2723
data/raw/images/БП12-Г02-2791_orig.jpg,БП12-Г02-2791
data/raw/images/БП12-Г02-3659_orig.jpg,БП12-Г02-3659
data/raw/images/БП12-Г02-3865_orig.jpg,БП12-Г02-3865
data/raw/images/БП12-Г02-3927_orig.jpg,БП12-Г02-3927
data/raw/images/БП12-Г02-4183_orig.jpg,БП12-Г02-4183
data/raw/images/БП12-Г02-4189_orig.jpg,БП12-Г02-4189
data/raw/images/БП12-Г02-4190_orig.jpg,БП12-Г02-4190
data/raw/images/БП12-Г02-4243_orig.jpg,БП12-Г02-4243
data/raw/images/БП12-Г02-4270_orig.jpg,БП12-Г02-4270
data/raw/images/БП12-Г02-4708_orig.jpg,БП12-Г02-4708
data/raw/images/БП12-Г02-5243_orig.jpg,БП12-Г02-5243
data/raw/images/БП12-Г02-5372_orig.jpg,БП12-Г02-5372
data/raw/images/БП12-Г02-8020_orig.jpg,БП12-Г02-8020
data/raw/images/БП12-Т01-8071_orig.jpg,БП12-Т01-8071
data/raw/images/БП12-Т01-8073_orig.jpg,БП12-Т01-8073
data/raw/images/БП12-Т01-8074_orig.jpg,БП12-Т01-8074
data/raw/images/БП12-Т02-7986_orig.jpg,БП12-Т02-7986
data/raw/images/Заг11-ш01-Г01-055_orig.jpg,Заг11-ш01-Г01-055
data/raw/images/Заг11-ш01-Г02-067_orig.jpg,Заг11-ш01-Г02-067
data/raw/images/Заг11-ш01-Г03-145_orig.jpg,Заг11-ш01-Г03-145
data/raw/images/Заг11-ш02-Г02-242_orig.jpg,Заг11-ш02-Г02-242
data/raw/images/КБ-2014-Р1-0131_orig.jpg,КБ-2014-Р1-0131
data/raw/images/КБ-2014-Р1-0400_orig.jpg,КБ-2014-Р1-0400
data/raw/images/КБ-2014-Р1-0427_orig.jpg,КБ-2014-Р1-0427
data/raw/images/КБ-2014-Р1-0547_orig.jpg,КБ-2014-Р1-0547
data/raw/images/КБ-2014-Р1-0716_orig.jpg,КБ-2014-Р1-0716
data/raw/images/КБ-2014-Р1-0718_orig.jpg,КБ-2014-Р1-0718
data/raw/images/КБ-2014-Р1-0780_orig.jpg,КБ-2014-Р1-0780
data/raw/images/КБ-2014-Р1-0782_orig.jpg,КБ-2014-Р1-0782
data/raw/images/КБ-2014-Р1-1032_orig.jpg,КБ-2014-Р1-1032
data/raw/images/КБ-2014-Р1-1033_orig.jpg,КБ-2014-Р1-1033
data/raw/images/КБ-2014-Р1-1388_orig.jpg,КБ-2014-Р1-1388
data/raw/images/КБ-2014-Р1-1464_orig.jpg,КБ-2014-Р1-1464
data/raw/images/КБ-2014-Р1-1489_orig.jpg,КБ-2014-Р1-1489
data/raw/images/КБ-2014-Р1-1508_orig.jpg,КБ-2014-Р1-1508
data/raw/images/КБ-2014-Р1-1518_orig.jpg,КБ-2014-Р1-1518
data/raw/images/КБ-2014-Р1-1539_orig.jpg,КБ-2014-Р1-1539
data/raw/images/КБ-2014-Р1-1540_orig.jpg,КБ-2014-Р1-1540
data/raw/images/КБ-2014-Р1-1568_orig.jpg,КБ-2014-Р1-1568
data/raw/images/КБ-2014-Р2-0056_orig.jpg,КБ-2014-Р2-0056
data/raw/images/КБ-2014-Р2-0091_orig.jpg,КБ-2014-Р2-0091
data/raw/images/КБ-2014-Р2-0092_orig.jpg,КБ-2014-Р2-0092
data/raw/images/КБ-2014-Р2-0127_orig.jpg,КБ-2014-Р2-0127
data/raw/images/КБ-2014-Р2-0128_orig.jpg,КБ-2014-Р2-0128
data/raw/images/КБ-2014-Р2-0130_orig.jpg,КБ-2014-Р2-0130
data/raw/images/КБ-2014-Р2-0132_orig.jpg,КБ-2014-Р2-0132
data/raw/images/КБ-2014-Р2-0211_orig.jpg,КБ-2014-Р2-0211
data/raw/images/КБ-2014-Р2-0218_orig.jpg,КБ-2014-Р2-0218
data/raw/images/КБ-2014-Р2-0323_orig.jpg,КБ-2014-Р2-0323
data/raw/images/КБ-2014-Р2-0331_orig.jpg,КБ-2014-Р2-0331
data/raw/images/КБ-2014-Р2-0430_orig.jpg,КБ-2014-Р2-0430
data/raw/images/КБ-2014-Р2-0431_orig.jpg,КБ-2014-Р2-0431
data/raw/images/КБ-2014-Р2-0435_orig.jpg,КБ-2014-Р2-0435
data/raw/images/КБ-2014-Р2-0484_orig.jpg,КБ-2014-Р2-0484
data/raw/images/КБ-2014-Р2-0485_orig.jpg,КБ-2014-Р2-0485
data/raw/images/КБ-2014-Р2-0532_orig.jpg,КБ-2014-Р2-0532
data/raw/images/КБ-2014-Р2-0568_orig.jpg,КБ-2014-Р2-0568
data/raw/images/КБ-2014-Р2-0574_orig.jpg,КБ-2014-Р2-0574
data/raw/images/КБ-2014-Р2-0603_orig.jpg,КБ-2014-Р2-0603
data/raw/images/КБ-2014-Р2-0605_orig.jpg,КБ-2014-Р2-0605
