image_file,group_key,code,ranking_score,ranking_method
data/raw/images/БП11-Р01-Г01-1197_orig.jpg,БП11-Р01-Г01-1197,БП11-Р01-Г01-1197,,random
data/raw/images/БП11-Р01-Г01-1315_orig.jpg,БП11-Р01-Г01-1315,БП11-Р01-Г01-1315,,random
data/raw/images/БП12-Г01-1016_orig.jpg,БП12-Г01-1016,БП12-Г01-1016,,random
data/raw/images/БП12-Г01-6524_orig.jpg,БП12-Г01-6524,БП12-Г01-6524,,random
data/raw/images/БП12-Г02-3865_orig.jpg,БП12-Г02-3865,БП12-Г02-3865,,random
data/raw/images/ВО-1л58-2017-0038_orig.jpg,ВО-1л58-2017-0038,ВО-1л58-2017-0038,,random
data/raw/images/ВО-1л58-2017-0047_orig.jpg,ВО-1л58-2017-0047,ВО-1л58-2017-0047,,random
data/raw/images/ВО-1л58-2017-0075_orig.jpg,ВО-1л58-2017-0075,ВО-1л58-2017-0075,,random
data/raw/images/ВО-1л58-2017-0242_orig.jpg,ВО-1л58-2017-0242,ВО-1л58-2017-0242,,random
data/raw/images/ВО-1л58-2017-0426_orig.jpg,ВО-1л58-2017-0426,ВО-1л58-2017-0426,,random
data/raw/images/ВО-1л58-2017-0509_orig.jpg,ВО-1л58-2017-0509,ВО-1л58-2017-0509,,random
data/raw/images/ВО-1л58-2017-0911_orig.jpg,ВО-1л58-2017-0911,ВО-1л58-2017-0911,,random
data/raw/images/ВО-1л58-2017-1002_orig.jpg,ВО-1л58-2017-1002,ВО-1л58-2017-1002,,random
data/raw/images/КБ-2014-Р1-0780_orig.jpg,КБ-2014-Р1-0780,КБ-2014-Р1-0780,,random
data/raw/images/КБ-2014-Р1-1508_orig.jpg,КБ-2014-Р1-1508,КБ-2014-Р1-1508,,random
data/raw/images/КБ-2014-Р2-0431_orig.jpg,КБ-2014-Р2-0431,КБ-2014-Р2-0431,,random
data/raw/images/КБ-2014-Р2-0668_orig.jpg,КБ-2014-Р2-0668,КБ-2014-Р2-0668,,random
data/raw/images/КБ-2014-Р3-0147_orig.jpg,КБ-2014-Р3-0147,КБ-2014-Р3-0147,,random
data/raw/images/КБ-2014-Р3-0419_orig.jpg,КБ-2014-Р3-0419,КБ-2014-Р3-0419,,random
data/raw/images/КБ-2014-Р4-494_orig.jpg,КБ-2014-Р4-494,КБ-2014-Р4-494,,random
data/raw/images/КБ-2014-Р6-193_orig.jpg,КБ-2014-Р6-193,КБ-2014-Р6-193,,random
data/raw/images/Кроп-2013-252_orig.jpg,Кроп-2013-252,Кроп-2013-252,,random
data/raw/images/Кроп-2013-430_orig.jpg,Кроп-2013-430,Кроп-2013-430,,random
data/raw/images/ЛАО-2012-М102-Ш3-118_orig.jpg,ЛАО-2012-М102-Ш3-118,ЛАО-2012-М102-Ш3-118,,random
data/raw/images/М102-2012-2-1359_orig.jpg,М102-2012-2-1359,М102-2012-2-1359,,random
data/raw/images/Нейш3А-2018-0206_orig.jpg,Нейш3А-2018-0206,Нейш3А-2018-0206,,random
data/raw/images/Нейш3А-2018-1980_orig.jpg,Нейш3А-2018-1980,Нейш3А-2018-1980,,random
data/raw/images/Нейш3А-2018-2142_orig.jpg,Нейш3А-2018-2142,Нейш3А-2018-2142,,random
data/raw/images/Нейш3А-2018-3039_orig.jpg,Нейш3А-2018-3039,Нейш3А-2018-3039,,random
data/raw/images/Нейш3А-2018-4749_orig.jpg,Нейш3А-2018-4749,Нейш3А-2018-4749,,random
data/raw/images/Нейш3А-2018-5763_orig.jpg,Нейш3А-2018-5763,Нейш3А-2018-5763,,random
data/raw/images/Нц-23-1058_orig.jpg,Нц-23-1058,Нц-23-1058,,random
data/raw/images/Нц-23-2163_orig.jpg,Нц-23-2163,Нц-23-2163,,random
data/raw/images/Нц-30-662_orig.jpg,Нц-30-662,Нц-30-662,,random
data/raw/images/Нц-32-0918_orig.jpg,Нц-32-0918,Нц-32-0918,,random
data/raw/images/Нц-33-2946_orig.jpg,Нц-33-2946,Нц-33-2946,,random
data/raw/images/Нц-33-5186_orig.jpg,Нц-33-5186,Нц-33-5186,,random
data/raw/images/Нц-33-5758_orig.jpg,Нц-33-5758,Нц-33-5758,,random
data/raw/images/Нц-37-0125_orig.jpg,Нц-37-0125,Нц-37-0125,,random
data/raw/images/Нц-37-1527_orig.jpg,Нц-37-1527,Нц-37-1527,,random
data/raw/images/Нц-43-06_orig.jpg,Нц-43-06,Нц-43-06,,random
data/raw/images/Нц-45-0019_orig.jpg,Нц-45-0019,Нц-45-0019,,random
data/raw/images/Нц-45-0472_orig.jpg,Нц-45-0472,Нц-45-0472,,random
data/raw/images/Нц-45-1445_orig.jpg,Нц-45-1445,Нц-45-1445,,random
data/raw/images/Нц-45-1531_orig.jpg,Нц-45-1531,Нц-45-1531,,random
data/raw/images/Нц-46-221_orig.jpg,Нц-46-221,Нц-46-221,,random
data/raw/images/Нц-48-334_orig.jpg,Нц-48-334,Нц-48-334,,random
data/raw/images/Т-12-Р3-1575_orig.jpg,Т-12-Р3-1575,Т-12-Р3-1575,,random
data/raw/images/Т-12-Р3-2256_orig.jpg,Т-12-Р3-2256,Т-12-Р3-2256,,random
data/raw/images/Т-12-Р4-1086_orig.jpg,Т-12-Р4-1086,Т-12-Р4-1086,,random
