code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain,image_width,image_height,aspect_ratio,analysis_width,analysis_height,foreground_ratio,bg_type,layout_mode,component_count,largest_component_ratio,second_component_ratio,has_scale_bar,has_overlay_text,border_brightness_mean,border_brightness_std,problem_score,bg_color_r,bg_color_g,bg_color_b,foreground_ratio_bin
БП12-Г02-5226,Тарелка,Тарелки фаянсовой края фр-т,фаянс,Д23 см,Фрагмент,Горизонт 2/ темная гумусированная супесь,,,data/raw/images/БП12-Г02-5226_orig.jpg,startswith,1,БП12-Г02-5226,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,1080,218,4.954128440366972,160,32,0.321875,dark_or_complex,single_object,4,0.1296875,0.1162109375,1,0,35.189778645833336,81.13796032968428,2.3002212573291763,0.0,0.0,0.0,ge_0.30
КБ-2014-Р6-199,Блюдце,Блюдце фарфоровое с белой поливой снаружи и белой поливой с полихромным геометрическим орнаментом внутри и клеймом на донце фрагментированное,фарфор,Dвен=14.5; Dдон=8; Выс=3 см,Фрагмент,Слой 2/ Слой засыпки с известковым раствором и кирпичной крошкой (слой разрушения дома),ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р6-199_orig.jpg,startswith,1,КБ-2014-Р6-199,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0,4205,10449,0.40243085462723704,64,160,0.51787109375,light_photo,multi_view,4,0.22431640625,0.2193359375,0,1,243.33426339285714,31.52298916443648,1.8102319866270624,255.0,255.0,255.0,ge_0.30
Нейш3А-2018-3050,Изразец,Изразец красноглиняный с белой поливой снаружи квадратный,керамика,"15х14х5,3 см",Целый,Современный строительный мусор,,,data/raw/images/Нейш3А-2018-3050_orig.jpg,startswith,1,Нейш3А-2018-3050,Керамика,изразец,0,часть не указана,1,целый,0,0,0,4781,1972,2.4244421906693714,160,66,0.671969696969697,light_photo,multi_view,4,0.3006628787878788,0.29801136363636366,0,1,215.80494100294987,60.52321947846794,1.7856014734635226,255.0,255.0,255.0,ge_0.30
БП12-Г01-1036,Крышка,Сосуда красноглиняного крышка со следами коричневой поливы внутри и снаружи фрагментированная,керамика,Д13 см,Фрагмент,Горизонт 1/ Темная гумусированная супесь с включением кирпичной крошки,,,data/raw/images/БП12-Г01-1036_orig.jpg,startswith,1,БП12-Г01-1036,Красноглиняная керамика,крышка,0,часть не указана,1,фрагмент,0,0,0,799,1920,0.4161458333333333,67,160,0.50625,light_photo,multi_view,4,0.22182835820895522,0.22042910447761194,0,1,246.87656020558,29.572991470865787,1.7767195192555525,255.0,255.0,255.0,ge_0.30
КБ-2014-Р5-0118,Тарелка,"Тарелка красноглиняная с коричневой поливой снаружи и светло-желтой внутри с рельефной надписью по краю, фр-ая",керамика,"Двен=25,5; Ддон=13; выс=4,5 см",Фрагмент,,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р5-0118_orig.jpg,startswith,1,КБ-2014-Р5-0118,Керамика,тарелка,0,часть не указана,1,фрагмент,0,0,0,4128,8924,0.4625728372926939,74,160,0.5107263513513514,light_photo,multi_view,4,0.22373310810810812,0.2235641891891892,0,1,238.8960113960114,43.84531187002696,1.6709512483910245,255.0,255.0,255.0,ge_0.30
КБ-2014-Р2-0459,Блюдце,"Блюдце фарфоровое с полихромным растительным орнаментом внутри и клеймом на донце, фр-ое",фарфор,"Двен=13,5; Ддон=8; выс=3 см",Фрагмент,Слой 3а,ИИМК РАН,2014.0,data/raw/images/КБ-2014-Р2-0459_orig.jpg,startswith,1,КБ-2014-Р2-0459,Фарфор,блюдце,0,донце,0,фрагмент,0,0,0,4342,9341,0.4648324590514934,74,160,0.5194256756756757,light_photo,multi_view,4,0.22221283783783785,0.21013513513513513,0,1,248.52021011396013,20.553428970696785,1.6660782414346116,255.0,255.0,255.0,ge_0.30
ВО-1л58-2017-0011,Изразец,"Изразца прямого красноглиняного с голубой поливой и голубым орнаментом ""вазон"" фр-т",керамика,"18+ х 20+ х 1,5; выс.рум=3,5 см",Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,data/raw/images/ВО-1л58-2017-0011_orig.jpg,startswith,1,ВО-1л58-2017-0011,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,5440,11449,0.4751506681806271,76,160,0.4823190789473684,white_uniform,multi_view,5,0.19950657894736842,0.1959703947368421,0,1,252.54043079096044,11.68990377570444,1.644123329073824,255.0,255.0,255.0,ge_0.30
ВО-1л58-2017-0715,Изразец,"Изразца прямоугольного стенового красноглиняного с белой поливой бирюзовой и лиловой росписью фр-т, румпа утрачена",керамика,"11+ х 9,5+ х 1 см",Фрагмент,Бурая супесь с раствором и кирпичами на дер-ом настиле и выше,ИИМК РАН,2017.0,data/raw/images/ВО-1л58-2017-0715_orig.jpg,startswith,1,ВО-1л58-2017-0715,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,4223,8471,0.4985243772872152,80,160,0.575859375,light_photo,multi_view,5,0.255546875,0.2540625,0,1,247.97986111111112,23.742292842629045,1.5961027894976072,255.0,255.0,255.0,ge_0.30
БП12-Г02-4011,Тарелка,Тарелки красноглиняной с белой поливой внутри и снаружи и полихромной росписью профиль,керамика,"Д23-12; высота 4,3 см",Фрагмент,Горизонт 2/ темная гумусированная супесь со щепой и кирпичной крошкой,,,data/raw/images/БП12-Г02-4011_orig.jpg,startswith,1,БП12-Г02-4011,Красноглиняная керамика,тарелка,0,профиль,0,фрагмент,0,0,0,982,1920,0.5114583333333333,82,160,0.42591463414634145,white_uniform,multi_view,4,0.1846798780487805,0.18376524390243903,0,1,252.35597451790633,15.9563252051533,1.5704891566673613,255.0,255.0,255.0,ge_0.30
Нейш3А-2018-0378,Тарелка,Тарелки фаянсовой с зеленым цветочным орнаментом внутри донца фр-т,фаянс,5х4 см,Фрагмент,Мощение,,,data/raw/images/Нейш3А-2018-0378_orig.jpg,startswith,1,Нейш3А-2018-0378,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0,1826,3562,0.5126333520494104,82,160,0.4682926829268293,white_uniform,multi_view,4,0.21951219512195122,0.20891768292682927,0,1,249.93336776859505,17.322374555399886,1.5681944026946932,255.0,255.0,255.0,ge_0.30
Нц-37-0656,Изразец,Изразец красноглиняный с белой поливой,керамика,27.5 х 18 х 5.8 см,Целый,Строительный мусор/ гориз.1.1,,,data/raw/images/Нц-37-0656_orig.jpg,startswith,1,Нц-37-0656,Керамика,изразец,0,часть не указана,1,целый,0,0,0,7248,3777,1.9189833200953137,160,83,0.5706325301204819,light_photo,multi_view,5,0.2394578313253012,0.2309487951807229,0,1,249.42884087791495,23.20205255435567,1.5517955250103583,255.0,255.0,255.0,ge_0.30
БП12-Г01-3416,Блюдце,Блюдца фаянсового с кобальтовой росписью и клеймом профиль,фаянс,"Д14-10; высота 2,3 см",Фрагмент,Горизонт 1/ темный гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-3416_orig.jpg,startswith,1,БП12-Г01-3416,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0,1003,1920,0.5223958333333333,84,160,0.4234375,white_uniform,multi_view,5,0.17857142857142858,0.17410714285714285,0,1,252.79038592896174,13.435549104756491,1.5493296770598917,255.0,255.0,255.0,ge_0.30
ВО-1л58-2017-0022,Плитка,Плитки (напольной ?) (метлахской ?) серо-бежевой фр-т,керамика,"14+ х 12,5+ х 1,5 см",Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,data/raw/images/ВО-1л58-2017-0022_orig.jpg,startswith,1,ВО-1л58-2017-0022,Керамика,прочее,1,часть не указана,1,фрагмент,0,0,1,7890,4123,1.9136551055056998,160,84,0.44895833333333335,light_photo,multi_view,6,0.19739583333333333,0.19702380952380952,0,1,245.2841530054645,29.933843368941687,1.5490150811330199,255.0,255.0,255.0,ge_0.30
Нц-33-5563,Изразец,Изразца красноглиняного с синей росписью по белой поливе внутри придонной части фр-т,керамика,,Фрагмент,Слой строительного мусора/ гориз.1,,,data/raw/images/Нц-33-5563_orig.jpg,startswith,1,Нц-33-5563,Керамика,изразец,0,часть не указана,1,фрагмент,0,0,0,5265,2760,1.9076086956521738,160,84,0.40595238095238095,white_uniform,multi_view,4,0.1965029761904762,0.19360119047619048,0,1,253.66068989071036,8.836865119161384,1.5458504658568801,255.0,255.0,255.0,ge_0.30
БП12-Г01-0726,Тарелка,Тарелки фаянсовой донца с клеймом фр-т,фаянс,Д15 см,Фрагмент,Горизонт 1/ темная гумусированная супесь с включением щепы и кирпичной крошки,,,data/raw/images/БП12-Г01-0726_orig.jpg,startswith,1,БП12-Г01-0726,Фаянс,тарелка,0,донце,0,фрагмент,0,0,0,1031,1920,0.5369791666666667,86,160,0.48459302325581394,light_photo,multi_view,4,0.2221656976744186,0.21744186046511627,0,1,246.55149051490517,30.989541538561607,1.5217959810048673,255.0,255.0,255.0,ge_0.30
БП12-Г01-7762,Тарелка,Тарелка фаянсовая фрагментированная,фаянс,"Д25,5-16 см",Фрагмент,Горизонт 1/ серая мешаная гумусированная супесь,,,data/raw/images/БП12-Г01-7762_orig.jpg,startswith,1,БП12-Г01-7762,Фаянс,тарелка,0,часть не указана,1,фрагмент,0,0,0,1033,1920,0.5380208333333333,86,160,0.40109011627906976,white_uniform,multi_view,4,0.18372093023255814,0.1803779069767442,0,1,254.15557249322495,7.951175749483286,1.519857995902189,255.0,255.0,255.0,ge_0.30
Нц-33-1878,Тарелка,Тарелки фаянсовой с зеленой поливой снаружи и желтой внутри  венчика фр-т,фаянс,D20 см,Фрагмент,Серая супесь/ гориз.5,,,data/raw/images/Нц-33-1878_orig.jpg,startswith,1,Нц-33-1878,Фаянс,тарелка,0,венчик,0,фрагмент,0,0,0,4494,2448,1.8357843137254901,160,87,0.5489942528735632,light_photo,multi_view,5,0.26163793103448274,0.25079022988505745,0,1,247.6248313090418,22.61878087902451,1.507471809113058,255.0,255.0,255.0,ge_0.30
Нейш3А-2018-0426,Тарелка,"Тарелки фаянсовой с красным геометрическим, зооморфным и растительным орнаментом снаружи и внутри венчика фр-т",фаянс,"5х3,5 см",Фрагмент,Современный строительный мусор,,,data/raw/images/Нейш3А-2018-0426_orig.jpg,startswith,1,Нейш3А-2018-0426,Фаянс,тарелка,0,венчик,0,фрагмент,0,0,0,2770,1515,1.8283828382838283,160,88,0.43842329545454545,light_photo,multi_view,4,0.17485795454545455,0.16704545454545455,0,1,234.22664650537632,39.30790192522407,1.5034318812379146,255.0,255.0,255.0,ge_0.30
БП12-Г01-7977,Тарелка,Тарелки фаянсовой с кобальтовой росписью и с клеймом профиль,фаянс,Д14-9; высота 3 см,Фрагмент,Горизонт 1/ черная супесь со щепой,,,data/raw/images/БП12-Г01-7977_orig.jpg,startswith,1,БП12-Г01-7977,Фаянс,тарелка,0,профиль,0,фрагмент,0,0,0,1061,1920,0.5526041666666667,88,160,0.37073863636363635,white_uniform,multi_view,5,0.16441761363636365,0.16058238636363636,0,1,252.07778897849465,15.00988128668632,1.4931133264078442,255.0,255.0,255.0,ge_0.30
БП12-Г01-6522,Блюдце,Блюдца фаянсового с красной окантовкой по краю профиль,фаянс,"Д8-6; высота 0,8 см",Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-6522_orig.jpg,startswith,1,БП12-Г01-6522,Фаянс,блюдце,0,профиль,0,фрагмент,0,0,0,1080,1867,0.578468130690948,93,160,0.4456317204301075,white_uniform,multi_view,4,0.19724462365591397,0.19684139784946236,0,1,251.22167325428197,17.906642082347705,1.4473718234234572,255.0,255.0,255.0,ge_0.30
